另外年的分数线pnt呢？,历史数据查询
为什么没有分数线pnt？,历史数据查询
能预测一下今年分数线pnt吗？,历史数据查询
录取最低分pnt是什么概念。,历史数据查询
录取线pnt多少？,历史数据查询
为什么没有2016年数据,历史数据查询
请问怎么查不到sch pnt？,历史数据查询
每个学校的分数线和专业分数线怎么查，,历史数据查询
招生计划,历史数据查询
学校代码怎么查？,历史数据查询
maj这个专业的就业前景咋样？,专业前景
maj专业近几年是不是较热门，女生报考好就业吗？,专业前景
maj未来就业如何,专业前景
大学的maj如何？,专业前景
maj是冷门专业吗,专业前景
maj专业怎么样？就业前景和方向,专业前景
maj适合女生吗？,专业前景
maj相关专业和前景如何,专业前景
maj专业可以干什么工作呢，就业前景怎么样，,专业前景
关于maj方面有些什么专业，前景怎样,专业前景
选择二本学校会有多少把握能被选上呢？,是否能被录取
报sch不知道行不行,是否能被录取
报sch大学行吗,是否能被录取
能报考什么大学,是否能被录取
想读sch maj，合适吗,是否能被录取
我可以去一个离家不太远的二本a线院校吗？,是否能被录取
报好的院校会有希望吗,是否能被录取
想知道上大学有把握吗？,是否能被录取
报本科院校有希望没,是否能被录取
能不能上个一般的二本院校？,是否能被录取
比往年录取专科线低十几分可以报吗？,是否能被录取
想报考sch请问有把握被录取吗,是否能被录取
上sch有把握吗？以sch作保底大学可以吗？,是否能被录取
可以上sch大学吗？,是否能被录取
可以报什么专业报本科院校有希望没,是否能被录取
上sch maj有可能吗,是否能被录取
可以冲刺二本吗？,是否能被录取
录取机会大不大？,是否能被录取
读sch保险吗,是否能被录取
报考二本学校录取机率大吗？,是否能被录取
上sch 有可能吗,是否能被录取
请问适合填那些学校和专业？,是否能被录取
想报考sch不是艺考生理科生请问有把握被录取吗,是否能被录取
报考哪所大学的几率被录取的几率高一些,推荐学校
有没有好些的学校?,推荐学校
推荐几所学校?,推荐学校
选什么学校才好？,推荐学校
有没有大学不是排名很靠前但专业很好的大学?,推荐学校
不知道上个啥学校稳？,推荐学校
能去哪个学校,推荐学校
可以报考哪所学校,推荐学校
可以上什么大学,推荐学校
我应该考虑哪些学校呢,推荐学校
有什么好的学校可以建议一下吗？,推荐学校
能给我推荐下好的学校吗？,推荐学校
麻烦推荐一下去哪些大学比较好,推荐学校
请问能上什么样的大学？,推荐学校
不知道去哪个学校,推荐学校
不知道填报哪所学校比较好？,推荐学校
那哪一些大学会比较好一些，,推荐学校
学校，有什么好的推荐一下,推荐学校
最有希望被哪所院校录取？,推荐学校
报某大学行吗,推荐学校
可以报比自已分数稍高点的学校吗？,推荐学校
想找个三本院校或者二本院校pro境内的，给点推荐,推荐学校
有什么比较好的二本？,推荐学校
还有比较好的中医大学吗？,推荐学校
求推荐,推荐学校
没什么大学可以选……求推荐,推荐学校
如果想出省，有什么好的学校可以建议一下吗？,推荐学校
求介绍本科院校或专科院校。,推荐学校
上专科还是上本科好,推荐学校
有哪些推荐的学校吗,推荐学校
想请老师帮我规划一下志愿填报,推荐学校
可以能推荐一下吗？最好是pro的二本。,推荐学校
可以报pro的什么学校,推荐学校
能上什么本科院校吗？,推荐学校
可以选择什么样的大专,推荐学校
能报什么学校？,推荐学校
